Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Guatemala,GTM,76.498,76.721,76.937,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Guinea,GIN,60.585,61.153,61.666,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Guinea-Bissau,GNB,59.329,59.62,59.913,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Guyana,GUY,72.717,72.847,72.972,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Haiti,HTI,65.052,65.454,65.832,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Honduras,HND,77.019,77.201,77.378,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Hong Kong SAR, China",HKG,87.3,87.6,87.7,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Hungary,HUN,79.7,79.3,79.6,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Iceland,ISL,84.1,84.3,84.5,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,India,IND,70.142,70.425,70.692,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Indonesia,IDN,73.264,73.515,73.748,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Iran, Islamic Rep.",IRN,77.187,77.436,77.668,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Iraq,IRQ,72.152,72.318,72.486,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Ireland,IRL,83.6,84,84.1,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Isle of Man,IMN,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Israel,ISR,84.2,84.6,84.8,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Italy,ITA,85.6,85.2,85.6,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Jamaica,JAM,75.774,75.878,75.993,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Japan,JPN,87.14,87.26,87.32,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Jordan,JOR,75.934,76.052,76.175,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Kazakhstan,KAZ,76.6,76.92,77.19,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Kenya,KEN,67.721,68.244,68.684,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Kiribati,KIR,71.638,71.88,72.113,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Korea, Dem. People’s Rep.",PRK,75.119,75.343,75.549,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Korea, Rep.",KOR,85.4,85.7,85.7,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Kosovo,XKX,73.9,74.2,74.5,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Kuwait,KWT,76.269,76.364,76.467,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Kyrgyz Republic,KGZ,75.1,75.4,75.6,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Lao PDR,LAO,68.712,69.074,69.417,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Latvia,LVA,79.6,79.7,79.7,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Lebanon,LBN,80.758,80.786,80.821,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Lesotho,LSO,55.299,56.194,56.954,..,..
