country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Cote D Ivoire,Africa,38923,215.0,35923.0,2785.0,,1450,8.0,473798.0,17653.0,26838930
Croatia,Europe,254507,5726.0,242665.0,6116.0,84.0,62270,1401.0,1454984.0,355989.0,4087165
Cuba,North America,64414,384.0,60378.0,3652.0,60.0,5689,34.0,2730305.0,241157.0,11321683
Curacao,North America,5520,23.0,4761.0,736.0,9.0,33542,140.0,60650.0,368534.0,164571
Cyprus,Asia,41111,241.0,2057.0,38813.0,43.0,33875,199.0,2718581.0,2240080.0,1213609
Czech Republic,Europe,1449696,24331.0,1216950.0,208415.0,1992.0,135193,2269.0,10510686.0,980187.0,10723142
Democratic Republic Of The Congo,Africa,27290,726.0,24361.0,2203.0,,298,8.0,,,91476134
Denmark,Europe,223415,2397.0,211962.0,9056.0,38.0,38475,413.0,21549949.0,3711202.0,5806731
Djibouti,Africa,6452,63.0,6022.0,367.0,,6464,63.0,121959.0,122181.0,998183
Dominica,North America,156,,141.0,15.0,,2163,,12325.0,170912.0,72113
Dominican Republic,North America,247979,3257.0,204188.0,40534.0,171.0,22698,298.0,1267187.0,115988.0,10925176
Ecuador,South America,307429,16333.0,263164.0,27932.0,504.0,17239,916.0,1086111.0,60905.0,17832884
Egypt,Africa,193482,11472.0,148823.0,33187.0,90.0,1866,111.0,1000000.0,9643.0,103699585
El Salvador,North America,62531,1962.0,59576.0,993.0,41.0,9606,301.0,807015.0,123975.0,6509502
Equatorial Guinea,Africa,6666,100.0,6121.0,445.0,10.0,4644,70.0,105832.0,73732.0,1435357
Eritrea,Africa,3095,7.0,2833.0,255.0,,864,2.0,23693.0,6616.0,3581222
Estonia,Europe,91031,758.0,64690.0,25583.0,66.0,68590,571.0,1063059.0,800996.0,1327171
Ethiopia,Africa,181869,2602.0,145349.0,33918.0,600.0,1555,22.0,2256439.0,19290.0,116971829
Faeroe Islands,Europe,661,1.0,657.0,3.0,,13491,20.0,236493.0,4826880.0,48995
Falkland Islands Malvinas,South America,54,,54.0,0.0,,15207,,7112.0,2002816.0,3551
Fiji,Australia/Oceania,67,2.0,64.0,1.0,,74,2.0,34782.0,38601.0,901065
Finland,Europe,69497,805.0,46000.0,22692.0,50.0,12529,145.0,3708679.0,668609.0,5546856
France,Europe,4181607,91679.0,278263.0,3811665.0,4246.0,63962,1402.0,58498845.0,894800.0,65376448
French Guiana,South America,16764,87.0,9995.0,6682.0,6.0,55120,286.0,153467.0,504595.0,304139
French Polynesia,Australia/Oceania,18570,141.0,4842.0,13587.0,3.0,65836,500.0,26355.0,93436.0,282064
Gabon,Africa,17297,105.0,15102.0,2090.0,19.0,7644,46.0,590518.0,260969.0,2262793
Gambia,Africa,5122,160.0,4686.0,276.0,3.0,2078,65.0,52686.0,21378.0,2464468
Georgia,Asia,276796,3683.0,269626.0,3487.0,,69482,925.0,3110856.0,780896.0,3983701
Germany,Europe,2628629,74878.0,2401700.0,152051.0,2848.0,31303,892.0,47578793.0,566584.0,83974794
Ghana,Africa,88421,705.0,84095.0,3621.0,65.0,2804,22.0,955937.0,30317.0,31531251
Gibraltar,Europe,4270,94.0,4148.0,28.0,2.0,126766,2791.0,203034.0,6027610.0,33684
Greece,Europe,230317,7297.0,196726.0,26294.0,645.0,22174,703.0,5998051.0,577476.0,10386667
Greenland,North America,31,,31.0,0.0,,545,,19792.0,348205.0,56840
Grenada,North America,154,1.0,151.0,2.0,,1364,9.0,23330.0,206654.0,112894
