Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,42322.48478,45148.55271,46313.17137,46194.72523,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,78465.35733,81302.12297,85975.02474,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,402.1912906,450.900245,475.9536099,467.9074406,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,693.4493865,665.9483527,726.1498811,709.5403101,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,13753.59444,14999.37009,15924.79424,14896.45387,..
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,8147.937705,8879.438667,9976.677137,10216.63033,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,5870.777957,6376.706716,6716.911598,6428.676206,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1273.058953,1323.81159,1415.955313,1370.148207,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,471.3188404,467.0742375,557.0644183,580.7168672,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2074.970159,2191.220438,2577.701705,2279.969131,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,11666.45591,11814.62657,12112.13442,12243.81143,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2013.382462,2111.027076,2314.050681,2276.333279,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,12361.48383,13451.62495,15014.08502,14936.10055,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,8060.795886,8541.210673,8821.818891,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,19555.36585,19457.53152,19573.89265,19689.13982,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,24532.51906,26338.69434,28689.70672,27858.371,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,18575.23203,20636.19995,23415.84363,23494.5962,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,54663.99837,57610.09818,61598.5367,60170.34264,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,2802.197051,2914.383856,3141.889219,3414.92487,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,8080.968623,7274.721333,7693.87887,8110.568512,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,7280.880109,7609.3388,8050.63044,8282.116359,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,6060.093329,6213.501276,6295.935399,6183.823825,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,3519.873203,2444.290311,2537.125365,3019.205829,..
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,3805.993666,3910.257193,4067.659449,4187.250031,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,9250.331953,9667.912252,10144.19581,8131.923888,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,18437.25282,20458.46073,23170.70738,23723.30611,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,3425.559509,3914.613252,4106.197153,3894.679807,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,717.1245929,768.5223076,771.5238139,855.7608623,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,56854.10265,60108.46669,64269.70425,..,..
